,Continent,Country,Life Expectancy,GDP per Capita,Population
0,Africa,Algeria,70.874,12779.0,36488669.0
1,Africa,Angola,51.498,7230.0,20039259.0
2,Africa,Benin,59.165,1685.0,9775152.0
3,Africa,Botswana,47.152,14905.0,2030287.0
5,Africa,Burundi,53.637,737.0,8899077.0
6,Africa,Cameroon,54.61,2661.0,20840151.0
7,Africa,Cape Verde,74.771,6224.0,526693.0
9,Africa,Chad,50.724,2003.0,12131497.0
10,Africa,Comoros,60.661,1435.0,721851.0
13,Africa,Djibouti,61.319,2807.0,908658.0
14,Africa,Egypt,70.933,10683.0,87423961.0
15,Africa,Equatorial Guinea,52.562,35282.0,727643.0
16,Africa,Eritrea,62.329,1180.0,5538405.0
17,Africa,Ethiopia,62.983,1240.0,89391089.0
18,Africa,Gabon,63.115,17252.0,1555520.0
19,Africa,Gambia,58.59,1584.0,1843449.0
20,Africa,Ghana,60.979,3685.0,25352971.0
21,Africa,Guinea,55.865,1216.0,10895232.0
22,Africa,Guinea-Bissau,54.054,1391.0,1724861.0
24,Africa,Kenya,61.115,2631.0,43054226.0
25,Africa,Lesotho,48.947,2390.0,2118360.0
26,Africa,Liberia,60.23,782.0,4346079.0
27,Africa,Libya,75.13,23032.0,6795495.0
28,Africa,Madagascar,64.28,1374.0,21210432.0
29,Africa,Malawi,54.798,740.0,16582169.0
30,Africa,Mali,54.622,1603.0,13972959.0
31,Africa,Mauritania,61.39,3470.0,3513697.0
32,Africa,Mauritius,73.453,16651.0,1313195.0
33,Africa,Morocco,70.714,6777.0,33161739.0
34,Africa,Mozambique,49.91,1017.0,24426104.0
35,Africa,Namibia,64.014,8995.0,2292433.0
36,Africa,Niger,57.934,891.0,17139440.0
37,Africa,Nigeria,52.116,5291.0,165337045.0
38,Africa,Rwanda,63.563,1400.0,10850173.0
39,Africa,Sao Tome and Principe,66.211,2837.0,170871.0
40,Africa,Senegal,63.3,2174.0,13522102.0
42,Africa,Sierra Leone,45.338,1582.0,6120715.0
43,Africa,Somalia,54.0,616.0,9870844.0
44,Africa,South Africa,56.271,12375.0,51073146.0
46,Africa,Sudan,61.875,3856.0,45009226.0
47,Africa,Swaziland,48.91,5910.0,1235310.0
48,Africa,Tanzania,60.885,2288.0,47774707.0
49,Africa,Togo,56.198,1314.0,7107382.0
50,Africa,Tunisia,75.632,10609.0,10578936.0
51,Africa,Uganda,58.668,1622.0,36068303.0
52,Africa,Zambia,57.037,3678.0,13920574.0
53,Africa,Zimbabwe,58.142,1750.0,13087123.0
54,Asia,Afghanistan,60.524,1893.0,31122625.0
55,Asia,Bahrain,76.474,40732.0,837623.0
56,Asia,Bangladesh,70.258,2725.0,168789745.0
57,Asia,Bhutan,67.888,7138.0,732882.0
58,Asia,Brunei,78.35,71664.0,421609.0
60,Asia,Cambodia,71.577,2790.0,15562836.0
61,Asia,China,75.178,11017.0,1371129033.0
63,Asia,India,66.168,4967.0,1246960278.0
64,Asia,Indonesia,70.624,9327.0,237403152.0
65,Asia,Iran,73.736,16068.0,76826637.0
66,Asia,Iraq,69.181,14545.0,33135923.0
67,Asia,Israel,81.641,30518.0,7507886.0
68,Asia,Japan,83.418,34988.0,126607881.0
69,Asia,Jordan,73.7,11340.0,6699266.0
70,Asia,Kazakhstan,66.394,21506.0,15978934.0
73,Asia,Kuwait,74.186,81080.0,3182726.0
76,Asia,Lebanon,79.716,16633.0,4321923.0
77,Asia,Malaysia,74.836,21920.0,28783427.0
78,Asia,Maldives,77.564,12637.0,323172.0
79,Asia,Mongolia,67.286,9851.0,2762503.0
80,Asia,Nepal,67.989,2118.0,30902187.0
81,Asia,Oman,76.287,44060.0,3022572.0
82,Asia,Pakistan,66.42,4337.0,192919632.0
83,Asia,Philippines,68.538,6005.0,96875221.0
84,Asia,Qatar,78.231,130990.0,1603944.0
86,Asia,Saudi Arabia,75.264,50916.0,27313578.0
87,Asia,Singapore,82.155,75630.0,4962173.0
88,Asia,Sri Lanka,74.116,8856.0,20734832.0
89,Asia,Syria,72.0,6432.0,23428149.0
90,Asia,Tajikistan,67.118,2320.0,7339272.0
91,Asia,Thailand,74.225,13586.0,68887145.0
92,Asia,Turkey,74.938,18057.0,77447275.0
93,Asia,Turkmenistan,65.299,12460.0,5310522.0
