,Region,Country,Sex,Most sold cigarette brand (US$),Years
0,Eastern Mediterranean,Afghanistan,Male,0.22,15
1,Eastern Mediterranean,Afghanistan,Female,0.22,16
2,Europe,Albania,Male,1.43,18
3,Europe,Albania,Female,1.43,20
4,Africa,Algeria,Male,1.14,18
5,Africa,Algeria,Female,1.14,20
6,Europe,Andorra,Male,3.13,23
7,Europe,Andorra,Female,3.13,27
8,Americas,Antigua and Barbuda,Male,2.41,21
9,Americas,Antigua and Barbuda,Female,2.41,23
10,Americas,Argentina,Male,1.37,19
11,Americas,Argentina,Female,1.37,23
12,Europe,Armenia,Male,1.49,15
13,Europe,Armenia,Female,1.49,19
14,Western Pacific,Australia,Male,10.77,23
15,Western Pacific,Australia,Female,10.77,26
16,Europe,Austria,Male,5.21,22
17,Europe,Austria,Female,5.21,26
18,Europe,Azerbaijan,Male,0.87,17
19,Europe,Azerbaijan,Female,0.87,20
20,Americas,Bahamas,Male,2.69,21
21,Americas,Bahamas,Female,2.69,24
22,Eastern Mediterranean,Bahrain,Male,1.86,21
23,Eastern Mediterranean,Bahrain,Female,1.86,23
24,South-East Asia,Bangladesh,Male,0.48,18
25,South-East Asia,Bangladesh,Female,0.48,18
26,Americas,Barbados,Male,5.50,21
27,Americas,Barbados,Female,5.50,25
28,Europe,Belarus,Male,0.84,14
29,Europe,Belarus,Female,0.84,21
30,Europe,Belgium,Male,6.31,22
31,Europe,Belgium,Female,6.31,25
32,Americas,Belize,Male,2.50,20
33,Americas,Belize,Female,2.50,22
34,Africa,Benin,Male,0.99,16
35,Africa,Benin,Female,0.99,17
36,Americas,Bolivia (Plurinational State of),Male,0.85,17
37,Americas,Bolivia (Plurinational State of),Female,0.85,19
38,Europe,Bosnia and Herzegovina,Male,1.53,19
39,Europe,Bosnia and Herzegovina,Female,1.53,21
40,Africa,Botswana,Male,2.63,16
41,Africa,Botswana,Female,2.63,18
42,Americas,Brazil,Male,1.84,19
43,Americas,Brazil,Female,1.84,23
44,Western Pacific,Brunei Darussalam,Male,1.64,20
45,Western Pacific,Brunei Darussalam,Female,1.64,21
46,Europe,Bulgaria,Male,2.74,17
47,Europe,Bulgaria,Female,2.74,22
48,Africa,Burkina Faso,Male,0.99,14
49,Africa,Burkina Faso,Female,0.99,15
50,Africa,Burundi,Male,0.65,15
51,Africa,Burundi,Female,0.65,16
52,Africa,Cote d'Ivoire,Male,1.39,16
53,Africa,Cote d'Ivoire,Female,1.39,17
54,Africa,Cape Verde,Male,2.13,18
55,Africa,Cape Verde,Female,2.13,21
56,Western Pacific,Cambodia,Male,0.33,15
57,Western Pacific,Cambodia,Female,0.33,17
58,Africa,Cameroon,Male,0.99,15
59,Africa,Cameroon,Female,0.99,17
60,Americas,Canada,Male,8.44,23
61,Americas,Canada,Female,8.44,26
62,Africa,Central African Republic,Male,0.62,15
63,Africa,Central African Republic,Female,0.62,16
64,Africa,Chad,Male,0.99,14
65,Africa,Chad,Female,0.99,16
66,Americas,Chile,Male,3.06,21
67,Americas,Chile,Female,3.06,25
68,Western Pacific,China,Male,0.74,19
69,Western Pacific,China,Female,0.74,21
70,Americas,Colombia,Male,1.02,23
71,Americas,Colombia,Female,1.02,25
72,Africa,Comoros,Male,1.32,15
73,Africa,Comoros,Female,1.32,17
74,Africa,Congo,Male,0.99,16
75,Africa,Congo,Female,0.99,18
76,Western Pacific,Cook Islands,Male,5.94,19
77,Western Pacific,Cook Islands,Female,5.94,26
78,Americas,Costa Rica,Male,1.55,22
79,Americas,Costa Rica,Female,1.55,25
80,Europe,Croatia,Male,3.23,19
81,Europe,Croatia,Female,3.23,23
82,Europe,Cyprus,Male,3.67,23
83,Europe,Cyprus,Female,3.67,25
84,Europe,Czech Republic,Male,3.31,19
85,Europe,Czech Republic,Female,3.31,23
86,Africa,Democratic Republic of the Congo,Male,0.78,15
87,Africa,Democratic Republic of the Congo,Female,0.78,16
88,Europe,Denmark,Male,6.47,21
89,Europe,Denmark,Female,6.47,24
90,Eastern Mediterranean,Djibouti,Male,1.13,15
91,Eastern Mediterranean,Djibouti,Female,1.13,16
92,Americas,Dominica,Male,1.30,21
93,Americas,Dominica,Female,1.30,22
94,Americas,Dominican Republic,Male,3.24,20
95,Americas,Dominican Republic,Female,3.24,20
96,Americas,Ecuador,Male,1.70,22
97,Americas,Ecuador,Female,1.70,24
98,Eastern Mediterranean,Egypt,Male,0.70,17
99,Eastern Mediterranean,Egypt,Female,0.70,20
100,Americas,El Salvador,Male,1.75,20
101,Americas,El Salvador,Female,1.75,22
102,Africa,Equatorial Guinea,Male,0.99,15
103,Africa,Equatorial Guinea,Female,0.99,16
104,Africa,Eritrea,Male,1.95,13
105,Africa,Eritrea,Female,1.95,16
106,Europe,Estonia,Male,2.66,18
107,Europe,Estonia,Female,2.66,24
108,Africa,Ethiopia,Male,0.55,16
109,Africa,Ethiopia,Female,0.55,18
110,Europe,Finland,Male,5.73,22
111,Europe,Finland,Female,5.73,26
112,Europe,France,Male,7.30,23
113,Europe,France,Female,7.30,27
114,Africa,Gabon,Male,1.99,17
115,Africa,Gabon,Female,1.99,19
116,Africa,Gambia,Male,0.35,13
117,Africa,Gambia,Female,0.35,14
118,Europe,Georgia,Male,0.98,16
119,Europe,Georgia,Female,0.98,20
120,Europe,Germany,Male,6.45,22
121,Europe,Germany,Female,6.45,25
122,Africa,Ghana,Male,1.39,17
123,Africa,Ghana,Female,1.39,19
124,Europe,Greece,Male,4.17,22
125,Europe,Greece,Female,4.17,26
126,Americas,Grenada,Male,2.78,19
127,Americas,Grenada,Female,2.78,22
128,Americas,Guatemala,Male,1.70,20
129,Americas,Guatemala,Female,1.70,21
130,Africa,Guinea,Male,0.39,15
131,Africa,Guinea,Female,0.39,17
132,Africa,Guinea-Bissau,Male,0.60,14
133,Africa,Guinea-Bissau,Female,0.60,16
134,Americas,Guyana,Male,1.47,13
135,Americas,Guyana,Female,1.47,17
136,Americas,Honduras,Male,1.43,20
137,Americas,Honduras,Female,1.43,22
138,Europe,Hungary,Male,2.80,17
139,Europe,Hungary,Female,2.80,22
140,Europe,Iceland,Male,7.47,23
141,Europe,Iceland,Female,7.47,26
142,South-East Asia,India,Male,1.51,16
143,South-East Asia,India,Female,1.51,18
144,South-East Asia,Indonesia,Male,1.47,17
145,South-East Asia,Indonesia,Female,1.47,19
146,Eastern Mediterranean,Iran (Islamic Republic of),Male,0.46,19
147,Eastern Mediterranean,Iran (Islamic Republic of),Female,0.46,20
148,Eastern Mediterranean,Iraq,Male,0.64,15
149,Eastern Mediterranean,Iraq,Female,0.64,20
150,Europe,Ireland,Male,11.14,22
151,Europe,Ireland,Female,11.14,25
152,Europe,Israel,Male,5.56,23
153,Europe,Israel,Female,5.56,26
154,Europe,Italy,Male,4.82,23
155,Europe,Italy,Female,4.82,27
156,Americas,Jamaica,Male,6.75,20
157,Americas,Jamaica,Female,6.75,23
158,Western Pacific,Japan,Male,3.47,23
159,Western Pacific,Japan,Female,3.47,28
